Real inital desity n_i = 0.0001
update # 1	 n=0.0004
update # 2	 n=0.0009
update # 3	 n=0.0018
update # 4	 n=0.0029
update # 5	 n=0.0044
update # 6	 n=0.0060
update # 7	 n=0.0080
update # 8	 n=0.0103
update # 9	 n=0.0129
update # 10	 n=0.0158
update # 11	 n=0.0190
update # 12	 n=0.0226
update # 13	 n=0.0264
update # 14	 n=0.0305
update # 15	 n=0.0348
update # 16	 n=0.0393
update # 17	 n=0.0441
update # 18	 n=0.0491
update # 19	 n=0.0543
update # 20	 n=0.0598
update # 21	 n=0.0655
update # 22	 n=0.0714
update # 23	 n=0.0775
update # 24	 n=0.0838
update # 25	 n=0.0901
update # 26	 n=0.0967
update # 27	 n=0.1035
update # 28	 n=0.1105
update # 29	 n=0.1176
update # 30	 n=0.1248
update # 31	 n=0.1321
update # 32	 n=0.1397
Real final density n = 0.1397

