Real inital desity n_i = 0.0001
update # 1	 n=0.0003
update # 2	 n=0.0006
update # 3	 n=0.0012
update # 4	 n=0.0020
update # 5	 n=0.0032
update # 6	 n=0.0050
update # 7	 n=0.0074
update # 8	 n=0.0106
update # 9	 n=0.0146
update # 10	 n=0.0197
update # 11	 n=0.0260
update # 12	 n=0.0338
update # 13	 n=0.0433
update # 14	 n=0.0547
update # 15	 n=0.0675
update # 16	 n=0.0827
update # 17	 n=0.0993
update # 18	 n=0.1176
update # 19	 n=0.1380
update # 20	 n=0.1604
update # 21	 n=0.1847
update # 22	 n=0.2108
update # 23	 n=0.2386
update # 24	 n=0.2671
update # 25	 n=0.2969
update # 26	 n=0.3281
update # 27	 n=0.3601
update # 28	 n=0.3922
update # 29	 n=0.4244
update # 30	 n=0.4571
update # 31	 n=0.4896
update # 32	 n=0.5212
update # 33	 n=0.5518
update # 34	 n=0.5820
update # 35	 n=0.6112
update # 36	 n=0.6392
update # 37	 n=0.6661
update # 38	 n=0.6918
update # 39	 n=0.7160
update # 40	 n=0.7388
update # 41	 n=0.7600
update # 42	 n=0.7798
update # 43	 n=0.7983
update # 44	 n=0.8155
update # 45	 n=0.8316
update # 46	 n=0.8467
update # 47	 n=0.8603
update # 48	 n=0.8728
update # 49	 n=0.8839
update # 50	 n=0.8941
Real final density n = 0.8941

