Real inital desity n_i = 0.0001
update # 1	 n=0.0003
update # 2	 n=0.0005
update # 3	 n=0.0008
update # 4	 n=0.0012
update # 5	 n=0.0017
update # 6	 n=0.0022
update # 7	 n=0.0027
update # 8	 n=0.0038
update # 9	 n=0.0049
update # 10	 n=0.0061
update # 11	 n=0.0078
update # 12	 n=0.0092
update # 13	 n=0.0110
update # 14	 n=0.0130
update # 15	 n=0.0154
update # 16	 n=0.0180
update # 17	 n=0.0212
update # 18	 n=0.0245
update # 19	 n=0.0284
update # 20	 n=0.0326
update # 21	 n=0.0371
update # 22	 n=0.0421
update # 23	 n=0.0474
update # 24	 n=0.0532
update # 25	 n=0.0590
update # 26	 n=0.0657
update # 27	 n=0.0722
update # 28	 n=0.0793
update # 29	 n=0.0871
update # 30	 n=0.0948
update # 31	 n=0.1033
update # 32	 n=0.1123
Real final density n = 0.1123

