Real inital desity n_i = 0.0001
update # 1	 n=0.0001
update # 2	 n=0.0002
update # 3	 n=0.0002
update # 4	 n=0.0004
update # 5	 n=0.0007
update # 6	 n=0.0011
update # 7	 n=0.0016
update # 8	 n=0.0026
update # 9	 n=0.0042
update # 10	 n=0.0060
update # 11	 n=0.0079
update # 12	 n=0.0107
update # 13	 n=0.0138
update # 14	 n=0.0162
update # 15	 n=0.0199
update # 16	 n=0.0230
update # 17	 n=0.0261
update # 18	 n=0.0304
update # 19	 n=0.0342
update # 20	 n=0.0396
update # 21	 n=0.0437
update # 22	 n=0.0505
update # 23	 n=0.0559
update # 24	 n=0.0630
update # 25	 n=0.0692
update # 26	 n=0.0771
update # 27	 n=0.0841
update # 28	 n=0.0931
update # 29	 n=0.1018
update # 30	 n=0.1131
update # 31	 n=0.1242
update # 32	 n=0.1356
Real final density n = 0.1356

