Real inital desity n_i = 0.0001
update # 1	 n=0.0007
update # 2	 n=0.0019
update # 3	 n=0.0031
update # 4	 n=0.0047
update # 5	 n=0.0062
update # 6	 n=0.0078
update # 7	 n=0.0102
update # 8	 n=0.0138
update # 9	 n=0.0161
update # 10	 n=0.0189
update # 11	 n=0.0216
update # 12	 n=0.0252
update # 13	 n=0.0292
update # 14	 n=0.0340
update # 15	 n=0.0383
update # 16	 n=0.0436
update # 17	 n=0.0475
update # 18	 n=0.0531
update # 19	 n=0.0584
update # 20	 n=0.0644
update # 21	 n=0.0686
update # 22	 n=0.0749
update # 23	 n=0.0816
update # 24	 n=0.0865
update # 25	 n=0.0917
update # 26	 n=0.0986
update # 27	 n=0.1036
update # 28	 n=0.1107
update # 29	 n=0.1173
update # 30	 n=0.1240
update # 31	 n=0.1310
update # 32	 n=0.1382
Real final density n = 0.1382

