Real inital desity n_i = 0.0001
update # 1	 n=0.0010
update # 2	 n=0.0034
update # 3	 n=0.0064
update # 4	 n=0.0111
update # 5	 n=0.0165
update # 6	 n=0.0241
update # 7	 n=0.0311
update # 8	 n=0.0421
update # 9	 n=0.0509
update # 10	 n=0.0614
update # 11	 n=0.0725
update # 12	 n=0.0839
update # 13	 n=0.0949
update # 14	 n=0.1086
update # 15	 n=0.1216
update # 16	 n=0.1354
update # 17	 n=0.1506
update # 18	 n=0.1655
update # 19	 n=0.1823
update # 20	 n=0.1980
update # 21	 n=0.2145
update # 22	 n=0.2296
update # 23	 n=0.2447
update # 24	 n=0.2614
update # 25	 n=0.2764
update # 26	 n=0.2929
update # 27	 n=0.3094
update # 28	 n=0.3258
update # 29	 n=0.3428
update # 30	 n=0.3566
update # 31	 n=0.3736
update # 32	 n=0.3890
update # 33	 n=0.4046
update # 34	 n=0.4214
update # 35	 n=0.4355
update # 36	 n=0.4508
update # 37	 n=0.4643
update # 38	 n=0.4780
update # 39	 n=0.4931
update # 40	 n=0.5060
update # 41	 n=0.5189
update # 42	 n=0.5348
update # 43	 n=0.5479
update # 44	 n=0.5592
update # 45	 n=0.5723
update # 46	 n=0.5841
update # 47	 n=0.5973
update # 48	 n=0.6103
update # 49	 n=0.6219
update # 50	 n=0.6288
Real final density n = 0.6288

