Real inital desity n_i = 0.0001
update # 1	 n=0.0008
update # 2	 n=0.0026
update # 3	 n=0.0052
update # 4	 n=0.0092
update # 5	 n=0.0139
update # 6	 n=0.0196
update # 7	 n=0.0264
update # 8	 n=0.0350
update # 9	 n=0.0442
update # 10	 n=0.0546
update # 11	 n=0.0651
update # 12	 n=0.0766
update # 13	 n=0.0896
update # 14	 n=0.1028
update # 15	 n=0.1163
update # 16	 n=0.1300
update # 17	 n=0.1447
update # 18	 n=0.1601
update # 19	 n=0.1764
update # 20	 n=0.1922
update # 21	 n=0.2083
update # 22	 n=0.2247
update # 23	 n=0.2408
update # 24	 n=0.2576
update # 25	 n=0.2740
update # 26	 n=0.2909
update # 27	 n=0.3076
update # 28	 n=0.3237
update # 29	 n=0.3401
update # 30	 n=0.3557
update # 31	 n=0.3719
update # 32	 n=0.3880
update # 33	 n=0.4034
update # 34	 n=0.4190
update # 35	 n=0.4342
update # 36	 n=0.4493
update # 37	 n=0.4638
update # 38	 n=0.4779
update # 39	 n=0.4922
update # 40	 n=0.5066
update # 41	 n=0.5210
update # 42	 n=0.5342
update # 43	 n=0.5479
update # 44	 n=0.5608
update # 45	 n=0.5734
update # 46	 n=0.5862
update # 47	 n=0.5985
update # 48	 n=0.6100
update # 49	 n=0.6210
update # 50	 n=0.6332
Real final density n = 0.6332

