Real inital desity n_i = 0.0001
update # 1	 n=0.0003
update # 2	 n=0.0007
update # 3	 n=0.0014
update # 4	 n=0.0024
update # 5	 n=0.0039
update # 6	 n=0.0060
update # 7	 n=0.0088
update # 8	 n=0.0126
update # 9	 n=0.0175
update # 10	 n=0.0236
update # 11	 n=0.0314
update # 12	 n=0.0408
update # 13	 n=0.0517
update # 14	 n=0.0648
update # 15	 n=0.0800
update # 16	 n=0.0968
update # 17	 n=0.1156
update # 18	 n=0.1366
update # 19	 n=0.1595
update # 20	 n=0.1842
update # 21	 n=0.2108
update # 22	 n=0.2389
update # 23	 n=0.2685
update # 24	 n=0.2993
update # 25	 n=0.3311
update # 26	 n=0.3635
update # 27	 n=0.3965
update # 28	 n=0.4296
update # 29	 n=0.4625
update # 30	 n=0.4953
update # 31	 n=0.5276
update # 32	 n=0.5593
update # 33	 n=0.5900
update # 34	 n=0.6196
update # 35	 n=0.6479
update # 36	 n=0.6748
update # 37	 n=0.7004
update # 38	 n=0.7246
update # 39	 n=0.7472
update # 40	 n=0.7685
update # 41	 n=0.7885
update # 42	 n=0.8070
update # 43	 n=0.8241
update # 44	 n=0.8397
update # 45	 n=0.8543
update # 46	 n=0.8675
update # 47	 n=0.8796
update # 48	 n=0.8904
update # 49	 n=0.9005
update # 50	 n=0.9095
Real final density n = 0.9095

