Real inital desity n_i = 0.0001
update # 1	 n=0.0439
update # 2	 n=0.0868
update # 3	 n=0.1290
update # 4	 n=0.1694
update # 5	 n=0.2062
update # 6	 n=0.2411
update # 7	 n=0.2753
update # 8	 n=0.3077
update # 9	 n=0.3394
update # 10	 n=0.3700
update # 11	 n=0.3991
update # 12	 n=0.4262
update # 13	 n=0.4519
update # 14	 n=0.4767
update # 15	 n=0.5006
update # 16	 n=0.5227
update # 17	 n=0.5442
update # 18	 n=0.5643
update # 19	 n=0.5851
update # 20	 n=0.6039
update # 21	 n=0.6219
update # 22	 n=0.6396
update # 23	 n=0.6560
update # 24	 n=0.6714
update # 25	 n=0.6863
update # 26	 n=0.7002
update # 27	 n=0.7131
update # 28	 n=0.7252
update # 29	 n=0.7381
update # 30	 n=0.7496
update # 31	 n=0.7606
update # 32	 n=0.7710
update # 33	 n=0.7817
update # 34	 n=0.7915
update # 35	 n=0.8010
update # 36	 n=0.8097
update # 37	 n=0.8184
update # 38	 n=0.8264
update # 39	 n=0.8344
update # 40	 n=0.8418
update # 41	 n=0.8487
update # 42	 n=0.8552
update # 43	 n=0.8618
update # 44	 n=0.8676
update # 45	 n=0.8735
update # 46	 n=0.8794
update # 47	 n=0.8853
update # 48	 n=0.8904
update # 49	 n=0.8952
update # 50	 n=0.8995
Real final density n = 0.8995

