Real inital desity n_i = 0.0001
update # 1	 n=0.0001
update # 2	 n=0.0001
update # 3	 n=0.0003
update # 4	 n=0.0008
update # 5	 n=0.0013
update # 6	 n=0.0018
update # 7	 n=0.0022
update # 8	 n=0.0028
update # 9	 n=0.0039
update # 10	 n=0.0053
update # 11	 n=0.0066
update # 12	 n=0.0091
update # 13	 n=0.0120
update # 14	 n=0.0154
update # 15	 n=0.0182
update # 16	 n=0.0218
update # 17	 n=0.0254
update # 18	 n=0.0289
update # 19	 n=0.0346
update # 20	 n=0.0408
update # 21	 n=0.0452
update # 22	 n=0.0525
update # 23	 n=0.0599
update # 24	 n=0.0670
update # 25	 n=0.0765
update # 26	 n=0.0858
update # 27	 n=0.0951
update # 28	 n=0.1062
update # 29	 n=0.1180
update # 30	 n=0.1289
update # 31	 n=0.1417
update # 32	 n=0.1525
Real final density n = 0.1525

