Real inital desity n_i = 0.0001
update # 1	 n=0.0001
update # 2	 n=0.0003
update # 3	 n=0.0009
update # 4	 n=0.0025
update # 5	 n=0.0043
update # 6	 n=0.0060
update # 7	 n=0.0093
update # 8	 n=0.0128
update # 9	 n=0.0174
update # 10	 n=0.0228
update # 11	 n=0.0289
update # 12	 n=0.0373
update # 13	 n=0.0464
update # 14	 n=0.0579
update # 15	 n=0.0707
update # 16	 n=0.0864
update # 17	 n=0.1032
update # 18	 n=0.1225
update # 19	 n=0.1424
update # 20	 n=0.1633
update # 21	 n=0.1851
update # 22	 n=0.2088
update # 23	 n=0.2329
update # 24	 n=0.2599
update # 25	 n=0.2879
update # 26	 n=0.3166
update # 27	 n=0.3455
update # 28	 n=0.3736
update # 29	 n=0.4029
update # 30	 n=0.4330
update # 31	 n=0.4676
update # 32	 n=0.4988
update # 33	 n=0.5276
update # 34	 n=0.5538
update # 35	 n=0.5818
update # 36	 n=0.6091
update # 37	 n=0.6346
update # 38	 n=0.6627
update # 39	 n=0.6875
update # 40	 n=0.7112
update # 41	 n=0.7347
update # 42	 n=0.7535
update # 43	 n=0.7725
update # 44	 n=0.7927
update # 45	 n=0.8088
update # 46	 n=0.8244
update # 47	 n=0.8414
update # 48	 n=0.8549
update # 49	 n=0.8668
update # 50	 n=0.8786
Real final density n = 0.8786

