Real inital desity n_i = 0.0001
update # 1	 n=0.0003
update # 2	 n=0.0009
update # 3	 n=0.0018
update # 4	 n=0.0030
update # 5	 n=0.0049
update # 6	 n=0.0076
update # 7	 n=0.0107
update # 8	 n=0.0150
update # 9	 n=0.0203
update # 10	 n=0.0262
update # 11	 n=0.0331
update # 12	 n=0.0411
update # 13	 n=0.0504
update # 14	 n=0.0613
update # 15	 n=0.0728
update # 16	 n=0.0857
update # 17	 n=0.0992
update # 18	 n=0.1139
update # 19	 n=0.1292
update # 20	 n=0.1448
update # 21	 n=0.1613
update # 22	 n=0.1784
update # 23	 n=0.1968
update # 24	 n=0.2159
update # 25	 n=0.2350
update # 26	 n=0.2544
update # 27	 n=0.2746
update # 28	 n=0.2944
update # 29	 n=0.3145
update # 30	 n=0.3350
update # 31	 n=0.3560
update # 32	 n=0.3756
update # 33	 n=0.3960
update # 34	 n=0.4143
update # 35	 n=0.4333
update # 36	 n=0.4517
update # 37	 n=0.4716
update # 38	 n=0.4918
update # 39	 n=0.5110
update # 40	 n=0.5295
Real final density n = 0.5295

