Real inital desity n_i = 0.0001
update # 1	 n=0.0004
update # 2	 n=0.0013
update # 3	 n=0.0027
update # 4	 n=0.0050
update # 5	 n=0.0084
update # 6	 n=0.0132
update # 7	 n=0.0191
update # 8	 n=0.0263
update # 9	 n=0.0356
update # 10	 n=0.0471
update # 11	 n=0.0598
update # 12	 n=0.0743
update # 13	 n=0.0902
update # 14	 n=0.1075
update # 15	 n=0.1270
update # 16	 n=0.1476
update # 17	 n=0.1688
update # 18	 n=0.1924
update # 19	 n=0.2159
update # 20	 n=0.2406
update # 21	 n=0.2658
update # 22	 n=0.2915
update # 23	 n=0.3171
update # 24	 n=0.3436
update # 25	 n=0.3688
update # 26	 n=0.3934
update # 27	 n=0.4189
update # 28	 n=0.4434
update # 29	 n=0.4678
update # 30	 n=0.4928
update # 31	 n=0.5175
update # 32	 n=0.5417
update # 33	 n=0.5659
update # 34	 n=0.5892
update # 35	 n=0.6125
update # 36	 n=0.6349
update # 37	 n=0.6568
update # 38	 n=0.6783
update # 39	 n=0.6988
update # 40	 n=0.7177
update # 41	 n=0.7357
update # 42	 n=0.7537
update # 43	 n=0.7712
update # 44	 n=0.7870
update # 45	 n=0.8024
update # 46	 n=0.8166
update # 47	 n=0.8305
update # 48	 n=0.8430
update # 49	 n=0.8546
update # 50	 n=0.8660
Real final density n = 0.8660

