Real inital desity n_i = 0.0001
update # 1	 n=0.0003
update # 2	 n=0.0006
update # 3	 n=0.0012
update # 4	 n=0.0019
update # 5	 n=0.0029
update # 6	 n=0.0039
update # 7	 n=0.0054
update # 8	 n=0.0072
update # 9	 n=0.0094
update # 10	 n=0.0116
update # 11	 n=0.0144
update # 12	 n=0.0175
update # 13	 n=0.0211
update # 14	 n=0.0248
update # 15	 n=0.0294
update # 16	 n=0.0342
update # 17	 n=0.0396
update # 18	 n=0.0455
update # 19	 n=0.0521
update # 20	 n=0.0590
update # 21	 n=0.0669
update # 22	 n=0.0752
update # 23	 n=0.0839
update # 24	 n=0.0935
update # 25	 n=0.1035
update # 26	 n=0.1139
update # 27	 n=0.1242
update # 28	 n=0.1361
update # 29	 n=0.1477
update # 30	 n=0.1601
update # 31	 n=0.1723
update # 32	 n=0.1842
Real final density n = 0.1842

