Real inital desity n_i = 0.0001
update # 1	 n=0.0450
update # 2	 n=0.0881
update # 3	 n=0.1294
update # 4	 n=0.1684
update # 5	 n=0.2058
update # 6	 n=0.2412
update # 7	 n=0.2754
update # 8	 n=0.3078
update # 9	 n=0.3393
update # 10	 n=0.3692
update # 11	 n=0.3977
update # 12	 n=0.4249
update # 13	 n=0.4509
update # 14	 n=0.4755
update # 15	 n=0.4990
update # 16	 n=0.5218
update # 17	 n=0.5431
update # 18	 n=0.5634
update # 19	 n=0.5830
update # 20	 n=0.6017
update # 21	 n=0.6194
update # 22	 n=0.6368
update # 23	 n=0.6532
update # 24	 n=0.6688
update # 25	 n=0.6836
update # 26	 n=0.6981
update # 27	 n=0.7118
update # 28	 n=0.7248
update # 29	 n=0.7373
update # 30	 n=0.7494
update # 31	 n=0.7606
update # 32	 n=0.7713
update # 33	 n=0.7815
update # 34	 n=0.7914
update # 35	 n=0.8010
update # 36	 n=0.8100
update # 37	 n=0.8185
update # 38	 n=0.8267
update # 39	 n=0.8345
update # 40	 n=0.8421
update # 41	 n=0.8494
update # 42	 n=0.8562
update # 43	 n=0.8629
update # 44	 n=0.8690
update # 45	 n=0.8751
update # 46	 n=0.8807
update # 47	 n=0.8860
update # 48	 n=0.8909
update # 49	 n=0.8957
update # 50	 n=0.9004
Real final density n = 0.9004

