Real inital desity n_i = 0.0001
update # 1	 n=0.0004
update # 2	 n=0.0010
update # 3	 n=0.0021
update # 4	 n=0.0039
update # 5	 n=0.0064
update # 6	 n=0.0102
update # 7	 n=0.0151
update # 8	 n=0.0213
update # 9	 n=0.0288
update # 10	 n=0.0381
update # 11	 n=0.0487
update # 12	 n=0.0611
update # 13	 n=0.0753
update # 14	 n=0.0908
update # 15	 n=0.1079
update # 16	 n=0.1268
update # 17	 n=0.1471
update # 18	 n=0.1688
update # 19	 n=0.1920
update # 20	 n=0.2164
update # 21	 n=0.2419
update # 22	 n=0.2686
update # 23	 n=0.2961
update # 24	 n=0.3242
update # 25	 n=0.3524
update # 26	 n=0.3817
update # 27	 n=0.4106
update # 28	 n=0.4398
update # 29	 n=0.4689
update # 30	 n=0.4975
update # 31	 n=0.5261
update # 32	 n=0.5539
update # 33	 n=0.5818
update # 34	 n=0.6087
update # 35	 n=0.6350
update # 36	 n=0.6600
update # 37	 n=0.6844
update # 38	 n=0.7073
update # 39	 n=0.7291
update # 40	 n=0.7495
update # 41	 n=0.7690
update # 42	 n=0.7872
update # 43	 n=0.8043
update # 44	 n=0.8202
update # 45	 n=0.8346
update # 46	 n=0.8481
update # 47	 n=0.8605
update # 48	 n=0.8719
update # 49	 n=0.8823
update # 50	 n=0.8924
Real final density n = 0.8924

