Real inital desity n_i = 0.0001
update # 1	 n=0.0006
update # 2	 n=0.0021
update # 3	 n=0.0045
update # 4	 n=0.0080
update # 5	 n=0.0125
update # 6	 n=0.0183
update # 7	 n=0.0249
update # 8	 n=0.0324
update # 9	 n=0.0412
update # 10	 n=0.0509
update # 11	 n=0.0615
update # 12	 n=0.0730
update # 13	 n=0.0853
update # 14	 n=0.0982
update # 15	 n=0.1114
update # 16	 n=0.1253
update # 17	 n=0.1394
update # 18	 n=0.1544
update # 19	 n=0.1693
update # 20	 n=0.1847
update # 21	 n=0.2004
update # 22	 n=0.2165
update # 23	 n=0.2328
update # 24	 n=0.2493
update # 25	 n=0.2654
update # 26	 n=0.2817
update # 27	 n=0.2987
update # 28	 n=0.3155
update # 29	 n=0.3316
update # 30	 n=0.3481
update # 31	 n=0.3644
update # 32	 n=0.3802
update # 33	 n=0.3958
update # 34	 n=0.4116
update # 35	 n=0.4270
update # 36	 n=0.4426
update # 37	 n=0.4576
update # 38	 n=0.4725
update # 39	 n=0.4867
update # 40	 n=0.5008
update # 41	 n=0.5145
update # 42	 n=0.5281
update # 43	 n=0.5417
update # 44	 n=0.5547
update # 45	 n=0.5672
update # 46	 n=0.5795
update # 47	 n=0.5918
update # 48	 n=0.6036
update # 49	 n=0.6155
update # 50	 n=0.6264
Real final density n = 0.6264

