-10 18
59 15
22 10
19 5
-46 23
-23 17
-10 -15
10 24
-13 4
0 -30
-9 44
-3 -18
-22 -7
3 4
16 3
35 0
11 18
0 -41
28 -23
-13 6
8 -8
29 -13
-14 -2
29 17
17 9
-10 45
-23 -2
-4 -51
0 -21
2 -23
17 -3
21 -18
-23 2
0 -13
28 4
-1 48
8 -16
4 0
-13 10
26 -12
-12 -47
-3 21
0 3
0 -6
37 38
-2 -18
27 17
-7 -33
-29 23
-23 -23
30 -15
1 10
8 -4
-18 15
-8 15
0 -21
13 9
-21 28
-6 13
-31 -2
-20 -12
0 -4
28 -14
9 12
28 -27
-19 23
3 -18
17 -14
-12 15
9 0
1 -14
-17 -5
-2 14
22 14
10 4
6 -12
-23 -6
1 3
-6 -35
-13 -28
-21 -1
-3 7
26 19
0 -28
12 -13
1 -8
24 -9
-17 11
33 -19
9 15
-18 -11
-5 -14
21 -1
-3 21
-2 -21
-2 -1
34 -47
5 21
38 10
-2 2
-6 -34
4 23
-4 -10
14 15
-30 8
-22 14
-16 20
-6 32
2 -36
-11 -14
-4 20
-7 2
7 14
20 -20
4 -7
-5 -48
-1 0
-9 -16
-1 -12
48 -2
-21 5
13 -22
2 -8
4 23
2 6
14 27
14 38
-28 -4
4 4
-33 -22
-20 -39
5 35
-8 3
8 21
-28 -19
30 -17
47 35
5 -14
16 4
6 -11
0 -2
-5 26
-38 -25
-4 8
-11 -13
17 -3
-11 33
-36 -26
-3 31
-39 -32
1 -1
-2 0
40 -51
8 2
-33 -13
-1 -9
-21 -1
17 19
-13 13
7 -12
2 -35
-14 -7
-22 -36
-16 9
11 18
25 -7
24 -22
6 4
0 42
14 14
10 11
24 -37
-23 -1
64 24
-17 2
-54 31
-14 6
16 1
8 -3
5 -2
-2 -4
8 11
-3 20
10 6
-8 -9
39 9
-7 -5
6 23
1 -18
-9 -13
-31 12
-31 -4
-14 -10
0 -14
-11 -29
-21 5
-37 -37
-6 14
-29 -13
3 -8
32 10
-5 -18
-21 -6
13 17
-26 -11
27 14
27 13
-21 -5
1 14
0 -23
25 -8
48 3
23 -9
4 7
41 15
-10 34
15 32
10 13
23 -9
1 -11
-8 -6
-11 6
-14 25
30 -8
17 10
61 -12
-11 5
-28 -30
-8 -2
18 5
3 -24
-14 9
1 17
10 -33
-1 3
-29 -28
13 -28
-1 1
-1 -16
5 26
14 -10
-7 -8
0 20
17 15
-26 0
-28 0
41 28
-13 -19
5 3
40 32
-5 -23
-23 -7
-17 -17
1 -2
-14 -4
35 -8
-8 -5
-2 -21
23 -15
-91 -1
23 13
25 -23
-5 -52
10 -27
-32 34
25 -27
-30 22
14 -11
-25 -22
26 3
20 -5
21 -8
1 17
6 16
14 5
15 18
12 -19
-3 6
-10 -38
17 -14
27 -35
1 17
-8 -2
-7 15
21 14
2 14
-16 -13
-13 13
12 8
1 -15
-12 -15
29 -9
-2 -2
-2 7
12 -14
-27 9
-30 40
-2 -21
34 -10
24 -24
-36 28
22 -18
-4 0
-36 11
-5 -4
-4 4
23 1
12 12
7 33
3 16
1 -22
23 27
4 12
-16 0
-9 -3
-49 9
-27 12
-15 -42
-19 0
-10 -6
18 0
9 39
-8 25
7 -14
2 -14
3 -22
29 3
-3 16
1 -10
12 37
6 16
4 27
-21 2
13 -56
24 12
-24 26
3 -7
-27 -2
26 -20
16 4
18 -12
-11 3
0 -6
20 8
-6 15
14 9
-16 8
18 -15
48 34
-33 -16
-30 -5
14 -2
26 -11
-24 -4
29 24
-1 28
22 -16
8 12
-9 -11
-15 22
24 0
-34 -17
-11 6
-1 -19
-17 -13
-15 3
23 -19
-2 -12
20 6
13 9
-10 -3
-39 -27
26 21
0 5
-6 -28
26 -2
-3 26
3 -10
52 0
29 14
32 50
13 17
28 -15
-16 6
30 42
-18 -14
9 -10
-42 0
-9 3
-12 -8
4 -5
26 -47
-12 -25
-18 21
-12 19
-21 -9
-21 -43
-11 0
-4 4
-27 -16
-14 -5
-3 -23
-33 2
14 -26
14 3
-2 -25
14 -18
1 28
-22 13
0 -70
0 -6
26 27
2 0
-12 -3
-15 -4
-21 -27
3 4
0 -19
-1 -16
7 22
-6 -28
14 -5
-4 21
-17 40
-15 -9
-13 -29
-8 13
11 -13
-19 13
-4 10
31 7
17 35
-10 27
-8 -44
-4 -3
-7 -30
-6 9
6 -5
-3 -12
-8 27
1 -13
22 -45
-50 12
-3 23
17 -15
6 -4
-11 22
1 27
26 15
30 -4
14 -1
1 2
12 -35
3 10
0 -12
7 -5
-37 -2
6 -3
21 11
-19 12
2 -11
-21 -12
12 -16
19 -1
-11 17
23 -26
-1 16
38 2
2 15
0 26
14 15
5 -17
8 39
44 3
5 -11
21 -38
-18 -27
-23 4
-5 -53
0 -16
9 20
2 -13
-4 15
12 5
-17 -28
-8 -46
5 26
-4 18
14 8
-37 -31
1 -2
12 32
0 -4
16 39
-41 36
18 42
-7 -11
-16 -15
-17 7
-11 -4
-20 11
-3 -10
-11 1
-1 -40
-34 -9
-17 -38
21 -34
23 25
-27 -19
-11 3
20 4
-10 12
-10 21
23 5
-26 4
28 -12
-8 21
-21 -11
1 55
-15 18
-9 -18
30 22
-24 -18
12 -35
13 9
6 -10
-8 48
-3 24
-15 -17
-14 14
-33 -40
6 -31
-26 -23
-15 15
18 17
0 -19
7 -11
-12 -53
30 -16
18 -13
6 -3
11 29
1 6
1 -2
-26 -35
7 35
-9 -31
25 17
5 -2
38 -33
-21 25
14 5
28 2
23 4
-4 -27
-37 -7
10 14
-9 -24
-12 22
9 4
21 -13
43 42
0 36
-3 3
11 -27
-4 8
-36 -5
-53 -25
-33 5
-7 27
26 26
12 36
35 -9
-28 -33
-41 21
-19 27
-8 31
-5 -3
1 1
-6 5
-20 -10
22 7
30 46
11 -17
25 -39
-18 1
1 1
46 31
-36 12
-10 -16
12 43
27 3
26 0
15 -15
-31 7
15 -16
29 16
-39 -3
-19 0
-5 18
22 5
6 -16
-1 -7
20 -13
8 6
-20 7
-10 -35
13 -55
-2 -14
-15 7
21 -14
10 -15
-16 -4
0 38
-6 3
17 -1
62 0
-11 13
16 35
15 -25
-5 14
-4 -25
-23 -13
27 -8
7 7
16 -33
-10 -48
8 12
-24 18
-33 1
3 -5
17 -3
24 -11
16 5
34 -18
-16 35
19 -51
-23 44
27 -2
33 2
4 -30
13 0
13 -9
-26 -3
33 9
-16 57
