Real inital desity n_i = 0.0001
update # 1	 n=0.0004
update # 2	 n=0.0011
update # 3	 n=0.0023
update # 4	 n=0.0043
update # 5	 n=0.0073
update # 6	 n=0.0114
update # 7	 n=0.0169
update # 8	 n=0.0239
update # 9	 n=0.0327
update # 10	 n=0.0431
update # 11	 n=0.0556
update # 12	 n=0.0701
update # 13	 n=0.0866
update # 14	 n=0.1055
update # 15	 n=0.1262
update # 16	 n=0.1488
update # 17	 n=0.1733
update # 18	 n=0.1999
update # 19	 n=0.2281
update # 20	 n=0.2577
update # 21	 n=0.2888
update # 22	 n=0.3208
update # 23	 n=0.3538
update # 24	 n=0.3875
update # 25	 n=0.4215
update # 26	 n=0.4556
update # 27	 n=0.4895
update # 28	 n=0.5236
update # 29	 n=0.5567
update # 30	 n=0.5890
update # 31	 n=0.6203
update # 32	 n=0.6504
update # 33	 n=0.6796
update # 34	 n=0.7071
update # 35	 n=0.7333
update # 36	 n=0.7581
update # 37	 n=0.7809
update # 38	 n=0.8022
update # 39	 n=0.8221
update # 40	 n=0.8405
update # 41	 n=0.8571
update # 42	 n=0.8725
update # 43	 n=0.8864
update # 44	 n=0.8988
update # 45	 n=0.9101
update # 46	 n=0.9204
update # 47	 n=0.9295
update # 48	 n=0.9376
update # 49	 n=0.9448
update # 50	 n=0.9511
Real final density n = 0.9511

